Date : 2026-07-01 00:06:27
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 125 files,  15541 codes, 804 comments, 2448 blanks, all 18793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\data_extraction_rules.xml                                                         | XML        |          7 |          0 |          1 |          8 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\dream_settings.xml                                                                | XML        |          2 |          0 |          1 |          3 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml                                                                 | XML        |        284 |         12 |         64 |        360 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt                            | Kotlin     |        124 |          0 |         22 |        146 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt                            | Kotlin     |         72 |          0 |         13 |         85 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\build.gradle.kts                                                                                       | Kotlin     |          5 |          1 |          0 |          6 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle.properties                                                                                      | Properties |          6 |         21 |          9 |         36 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties                                                               | Properties |          5 |          1 |          1 |          7 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradlew.bat                                                                                            | Batch      |         41 |         32 |         22 |         95 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\msal_auth_config.json                                                                                  | JSON       |         16 |          0 |          0 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts                                                                                    | Kotlin     |         22 |          1 |          3 |         26 |
| Total                                                                                                                                                 |            |     15,541 |        804 |      2,448 |     18,793 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
