"filename", "language", "Java Properties", "Kotlinscript", "Python", "Batch", "Markdown", "XML", "Kotlin", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\item_folder_checkbox.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 10, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_folder_browser.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_main.xml", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\arrays.xml", "XML", 0, 0, 0, 0, 0, 209, 0, 12, 12, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors_tv.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 1, 1, 10
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 64, 0, 13, 14, 91
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 8, 4, 40
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes_tv.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 6, 1, 22
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\dream_settings.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml", "XML", 0, 0, 0, 0, 0, 270, 0, 12, 62, 344
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 121, 3, 22, 146
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 68, 4, 13, 85
"e:\coding_workspaces\Kotlin\AndroidScreensaver\build.gradle.kts", "Kotlinscript", 0, 5, 0, 0, 0, 0, 0, 1, 0, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle.properties", "Java Properties", 6, 0, 0, 0, 0, 0, 0, 21, 9, 36
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradlew.bat", "Batch", 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts", "Kotlinscript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"e:\coding_workspaces\Kotlin\AndroidScreensaver\test.py", "Python", 0, 0, 19, 0, 0, 0, 0, 2, 4, 25
"Total", "-", 11, 120, 19, 41, 677, 3040, 8701, 1744, 2184, 16537
