Date : 2026-06-01 01:36:23
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 120 files,  13402 codes, 1770 comments, 2299 blanks, all 17471 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_network.xml                                                        | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_onedrive.xml                                                       | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_about.xml                                                             | XML             |        188 |          6 |         39 |        233 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_debug_settings.xml                                                    | XML             |        124 |          6 |         23 |        153 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_decoration_settings.xml                                               | XML             |         49 |          4 |         15 |         68 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_dropbox_auth.xml                                                      | XML             |         40 |          0 |          6 |         46 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_folder_browser.xml                                                    | XML             |        145 |          8 |         27 |        180 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_google_drive_auth.xml                                                 | XML             |         51 |          0 |          8 |         59 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main.xml                                                              | XML             |        112 |          5 |         23 |        140 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main_tv.xml                                                           | XML             |        106 |          6 |         14 |        126 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_photo_info_settings.xml                                               | XML             |        237 |          5 |         45 |        287 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_schedule_settings.xml                                                 | XML             |        138 |          9 |         31 |        178 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_video_playback_settings.xml                                           | XML             |         95 |          5 |         20 |        120 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_color_picker.xml                                                        | XML             |         61 |          2 |         11 |         74 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_cache_size.xml                                                   | XML             |         31 |          0 |          7 |         38 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_timeout.xml                                                      | XML             |         49 |          0 |         11 |         60 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_clock_settings.xml                                          | XML             |        135 |         10 |         23 |        168 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_date_settings.xml                                           | XML             |        129 |          9 |         22 |        160 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_weather_settings.xml                                        | XML             |        160 |         12 |         28 |        200 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\item_folder_checkbox.xml                                                       | XML             |         49 |          0 |         10 |         59 |
